City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
107,kalengwa,-13.4659,25.0027,17.0,98,100,1.63,ZM,"01/24/23,19:50:09"
108,mar del plata,-38.0023,-57.5575,22.83,76,67,5.36,AR,"01/24/23,19:49:06"
109,batagay,67.6333,134.6333,-48.11,98,25,1.03,RU,"01/24/23,19:50:09"
110,puerto ayora,-0.7393,-90.3518,28.98,88,38,4.02,EC,"01/24/23,19:50:10"
111,oyama,36.3,139.8,0.33,34,37,6.78,JP,"01/24/23,19:50:10"
112,kaoma,-14.7833,24.8,17.85,95,100,2.09,ZM,"01/24/23,19:50:11"
113,hasaki,35.7333,140.8333,-2.78,48,3,12.55,JP,"01/24/23,19:50:12"
114,ryotsu,38.0833,138.4333,-5.08,83,100,13.89,JP,"01/24/23,19:50:12"
115,east london,-33.0153,27.9116,21.3,81,88,6.68,ZA,"01/24/23,19:48:50"
116,mlowo,-9.0,32.9833,15.68,91,98,1.26,TZ,"01/24/23,19:50:13"
117,mecca,21.4267,39.8261,22.97,64,29,1.6,SA,"01/24/23,19:46:02"
118,vila velha,-20.3297,-40.2925,26.97,94,75,5.14,BR,"01/24/23,19:50:14"
119,souillac,-20.5167,57.5167,23.21,94,75,1.54,MU,"01/24/23,19:50:14"
120,saskylakh,71.9167,114.0833,-25.77,100,100,0.64,RU,"01/24/23,19:50:15"
121,ciudad bolivar,8.1222,-63.5497,29.89,46,100,4.94,VE,"01/24/23,19:50:16"
122,dingle,10.9995,122.6711,22.72,90,69,5.28,PH,"01/24/23,19:50:16"
123,leningradskiy,69.3833,178.4167,-30.21,93,30,4.27,RU,"01/24/23,19:50:16"
124,luena,-11.7833,19.9167,18.03,85,100,2.71,AO,"01/24/23,19:50:17"
125,guerrero negro,27.9769,-114.0611,16.87,25,1,0.66,MX,"01/24/23,19:50:17"
126,butaritari,3.0707,172.7902,27.25,78,58,8.3,KI,"01/24/23,19:50:18"
127,bad doberan,54.1071,11.9005,1.67,83,7,1.34,DE,"01/24/23,19:50:18"
128,karratha,-20.7377,116.8463,28.68,68,2,3.34,AU,"01/24/23,19:50:19"
129,hermanus,-34.4187,19.2345,16.56,51,84,3.69,ZA,"01/24/23,19:50:19"
130,tura,25.5198,90.2201,15.66,56,57,1.48,IN,"01/24/23,19:50:20"
131,golden,39.7555,-105.2211,2.06,54,75,3.13,US,"01/24/23,19:45:41"
132,new norfolk,-42.7826,147.0587,15.95,85,97,0.97,AU,"01/24/23,19:50:21"
133,agadez,19.75,10.25,22.68,12,0,3.82,NE,"01/24/23,19:50:21"
134,victoria,22.2855,114.1577,11.81,49,98,4.92,HK,"01/24/23,19:49:06"
135,qaanaaq,77.484,-69.3632,-23.85,63,7,3.78,GL,"01/24/23,19:50:22"
136,korla,41.7597,86.1469,-13.71,75,8,2.77,CN,"01/24/23,19:50:22"
137,bambous virieux,-20.3428,57.7575,23.45,94,75,1.54,MU,"01/24/23,19:50:23"
138,makakilo city,21.3469,-158.0858,26.18,72,0,1.54,US,"01/24/23,19:50:23"
139,manhuacu,-20.2581,-42.0336,25.05,84,100,1.13,BR,"01/24/23,19:46:44"
140,alofi,-19.0595,-169.9187,26.94,83,12,1.54,NU,"01/24/23,19:50:24"
141,tabuk,17.4189,121.4443,18.32,92,99,4.15,PH,"01/24/23,19:50:24"
142,lavrentiya,65.5833,-171.0,-26.31,96,30,4.88,RU,"01/24/23,19:50:25"
143,knysna,-34.0363,23.0471,17.96,76,100,4.94,ZA,"01/24/23,19:50:25"
144,saint george,37.1041,-113.5841,8.47,38,0,3.13,US,"01/24/23,19:50:26"
145,rio gallegos,-51.6226,-69.2181,17.03,14,40,11.83,AR,"01/24/23,19:48:54"
146,port alfred,-33.5906,26.891,20.1,79,100,3.58,ZA,"01/24/23,19:50:26"
147,rio grande,-32.035,-52.0986,33.06,51,0,6.95,BR,"01/24/23,19:50:27"
148,ayan,56.45,138.1667,-28.61,80,90,3.77,RU,"01/24/23,19:50:27"
149,zhezkazgan,47.8043,67.7144,-21.67,100,44,3.1,KZ,"01/24/23,19:50:28"
150,saint-pierre,-21.3393,55.4781,23.82,88,100,1.54,RE,"01/24/23,19:50:28"
151,geraldton,-28.7667,114.6,20.23,88,75,3.6,AU,"01/24/23,19:50:29"
152,vardo,70.3705,31.1107,-3.01,86,20,13.89,NO,"01/24/23,19:50:29"
153,ostrovnoy,68.0531,39.5131,-3.89,76,4,11.97,RU,"01/24/23,19:50:29"
154,atuona,-9.8,-139.0333,26.04,76,2,8.46,PF,"01/24/23,19:50:30"
155,katherine,-14.4667,132.2667,25.18,94,100,2.06,AU,"01/24/23,19:50:30"
156,alihe,50.5667,123.7167,-34.61,98,52,1.54,CN,"01/24/23,19:50:31"
157,maragogi,-9.0122,-35.2225,27.06,70,16,4.68,BR,"01/24/23,19:46:56"
158,mamakan,57.8161,114.0028,-35.19,97,100,0.23,RU,"01/24/23,19:50:31"
159,thompson,55.7435,-97.8558,-23.91,70,0,0.0,CA,"01/24/23,19:50:32"
160,starkville,33.4504,-88.8184,11.91,59,40,3.6,US,"01/24/23,19:50:19"
161,longyearbyen,78.2186,15.6401,-1.09,74,75,7.2,SJ,"01/24/23,19:50:32"
162,aguimes,27.9054,-15.4461,16.48,63,40,9.26,ES,"01/24/23,19:50:33"
163,oktyabrskiy,54.4815,53.471,-18.1,99,95,2.52,RU,"01/24/23,19:50:33"
164,thinadhoo,0.5333,72.9333,26.56,79,79,5.13,MV,"01/24/23,19:50:10"
165,stornoway,58.2093,-6.3865,10.02,92,75,8.23,GB,"01/24/23,19:50:34"
166,simpang,-1.2667,104.0833,23.23,94,100,2.93,ID,"01/24/23,19:50:34"
167,asyut,27.181,31.1837,16.1,47,0,5.39,EG,"01/24/23,19:50:35"
168,tasiilaq,65.6145,-37.6368,-11.75,66,94,3.39,GL,"01/24/23,19:50:35"
169,pangnirtung,66.1451,-65.7125,-23.0,77,75,0.0,CA,"01/24/23,19:50:35"
170,sitka,57.0531,-135.33,6.94,87,100,3.6,US,"01/24/23,19:50:36"
171,santa fe,-31.6333,-60.7,40.05,14,56,1.67,AR,"01/24/23,19:50:36"
172,birao,10.2849,22.7882,24.05,14,69,2.69,CF,"01/24/23,19:50:37"
173,daru,-9.0763,143.2092,25.34,89,100,1.23,PG,"01/24/23,19:50:37"
174,bacolod,10.6667,122.95,24.18,84,75,7.52,PH,"01/24/23,19:50:38"
175,tiarei,-17.5333,-149.3333,28.01,81,100,6.5,PF,"01/24/23,19:50:38"
176,sur,22.5667,59.5289,18.04,58,23,3.7,OM,"01/24/23,19:50:39"
177,newport,51.5877,-2.9984,2.51,90,16,1.0,GB,"01/24/23,19:50:39"
178,hearst,49.6835,-83.6665,-16.86,80,37,1.1,CA,"01/24/23,19:50:39"
179,kavieng,-2.5744,150.7967,27.29,77,99,3.64,PG,"01/24/23,19:50:40"
180,bluff,-46.6,168.3333,11.31,79,78,2.0,NZ,"01/24/23,19:45:44"
181,port elizabeth,-33.918,25.5701,20.16,75,20,10.29,ZA,"01/24/23,19:50:40"
182,port keats,-14.25,129.55,24.14,95,100,3.92,AU,"01/24/23,19:50:41"
